x_pos_terminal,y_pos_terminal,month,day,hour,minute
7.359777100554581,43.673066199638534,1.0,9.0,14.0,53.0
4.406655165150237,41.76739217255803,1.0,22.0,13.0,7.0
18.652778071205354,40.7285193163177,1.0,15.0,7.0,41.0
21.108721203405757,40.15085290514323,1.0,23.0,11.0,7.0
6.300349407597515,8.741668320298581,1.0,10.0,11.0,5.0
21.17236976117268,34.84374999544873,1.0,17.0,7.0,43.0
45.09497445096677,45.3130281950535,1.0,22.0,14.0,35.0
14.889741286062792,40.38740239910248,1.0,7.0,13.0,53.0
33.892574190529295,40.01515182187549,1.0,22.0,7.0,40.0
24.818934127312378,43.4430110891589,1.0,7.0,10.0,54.0
43.676866383712806,45.60807008865454,1.0,11.0,13.0,24.0
43.714911111369986,46.67074773287281,1.0,10.0,10.0,35.0
19.03902513692809,6.646621997753778,1.0,25.0,13.0,40.0
14.858712974678442,37.88816181334197,1.0,10.0,8.0,38.0
41.96294421266024,7.7984574927512025,1.0,17.0,14.0,5.0
28.47455281917444,12.968632121659038,1.0,20.0,12.0,17.0
11.749880513362648,44.55193688783783,1.0,7.0,8.0,39.0
23.88209407800501,39.15267731192924,1.0,23.0,7.0,52.0
41.04803755653623,44.440854186477836,1.0,10.0,10.0,18.0
20.54039072155399,7.88064967304837,1.0,13.0,11.0,22.0
12.16154564729112,44.55072574627597,1.0,17.0,15.0,36.0
9.487926811425062,36.77378024596621,1.0,24.0,14.0,49.0
41.24744277073138,11.101687059052438,1.0,8.0,13.0,48.0
35.225289051234924,14.321576658147508,1.0,14.0,13.0,22.0
18.328986361218078,42.21156776275492,1.0,22.0,7.0,39.0
35.246652088484275,40.00139549504712,1.0,12.0,13.0,52.0
22.17108090219604,34.65611009742354,1.0,22.0,16.0,38.0
21.25776024883872,41.83412821531638,1.0,9.0,9.0,9.0
35.2913694131465,37.44865644807507,1.0,11.0,9.0,37.0
32.5964972872425,9.448517303197063,1.0,26.0,9.0,17.0
18.245760693248688,35.61717845003703,1.0,22.0,15.0,52.0
38.67098093142684,10.456715336225043,1.0,24.0,9.0,5.0
15.756243932181109,41.70420583970082,1.0,24.0,10.0,19.0
45.02368808160701,46.029979410227746,1.0,24.0,14.0,42.0
15.548936584003544,41.29604395342186,1.0,8.0,11.0,8.0
20.92134272108518,7.64030571796259,1.0,9.0,11.0,36.0
35.54281156484295,32.46065478238652,1.0,11.0,16.0,12.0
35.08965492002642,37.5540980372969,1.0,11.0,9.0,24.0
38.40268334115387,13.077756180100167,1.0,6.0,14.0,37.0
23.75087464296145,42.408166892343125,1.0,6.0,18.0,37.0
38.481849324303894,10.29173998365184,1.0,26.0,12.0,14.0
21.597961346865706,38.88268276890197,1.0,25.0,10.0,6.0
23.12473542273741,13.235015585170236,1.0,24.0,14.0,52.0
43.72346511732733,46.56805874304887,1.0,6.0,16.0,51.0
21.767875323191546,35.77714937164984,1.0,9.0,12.0,30.0
24.35165574119359,40.86347594180207,1.0,7.0,11.0,54.0
18.709957135963315,10.115034624790143,1.0,25.0,13.0,51.0
20.931319222761104,41.764907922931314,1.0,26.0,8.0,57.0
21.313078478917866,41.911793690265974,1.0,7.0,9.0,37.0
43.42597842115387,46.954742112709425,1.0,25.0,10.0,21.0
17.95161758364223,10.94655387839236,1.0,26.0,11.0,40.0
43.869517230399495,45.98058405855535,1.0,23.0,7.0,50.0
20.793706724854346,7.940988503911998,1.0,15.0,10.0,22.0
35.260161116434965,43.95515701141749,1.0,25.0,12.0,22.0
35.39839144768828,37.89042618893335,1.0,20.0,13.0,39.0
38.693904391107814,31.6932754413068,1.0,24.0,15.0,22.0
8.766250727941173,8.069453829189406,1.0,23.0,13.0,21.0
35.988318809064374,38.51629290776804,1.0,22.0,14.0,53.0
23.23341175589595,38.22255686373272,1.0,12.0,8.0,48.0
20.994364575449033,37.34378651177634,1.0,18.0,16.0,7.0
34.87072720697675,40.3414367275665,1.0,17.0,11.0,6.0
41.55163462421066,9.044268909100769,1.0,9.0,10.0,53.0
37.29374303121907,35.191501037341105,1.0,23.0,16.0,9.0
21.536562904035296,41.01579558611503,1.0,15.0,16.0,38.0
33.74305139643364,36.20333201478444,1.0,25.0,11.0,20.0
19.774509029834306,41.198807419700906,1.0,22.0,8.0,38.0
7.693268729653779,6.472781442556826,1.0,11.0,12.0,38.0
20.421104025748683,38.07565399319749,1.0,19.0,9.0,7.0
21.032254943079863,40.26500782794994,1.0,23.0,15.0,30.0
33.819155962494555,14.13078846932058,1.0,24.0,14.0,50.0
41.446362972870745,10.198049931429395,1.0,9.0,10.0,53.0
42.54816049668091,9.659196407170217,1.0,10.0,14.0,21.0
19.110587266296225,33.18356366489683,1.0,23.0,9.0,41.0
12.100819180563203,33.74294278249928,1.0,24.0,13.0,53.0
40.59136327021685,11.395576772410264,1.0,10.0,13.0,48.0
6.335074352901412,41.29171482096744,1.0,11.0,15.0,53.0
8.374339461107926,8.768667485519211,1.0,11.0,11.0,32.0
35.170393393637426,38.15376435243116,1.0,18.0,8.0,41.0
23.730907329855402,37.25219011994821,1.0,22.0,8.0,52.0
44.877390723361025,46.27101645022429,1.0,23.0,13.0,38.0
36.109270661915225,36.21142447125905,1.0,10.0,10.0,25.0
18.983772843973536,7.031501098417518,1.0,25.0,13.0,40.0
21.64798779154055,42.56726192479085,1.0,10.0,17.0,37.0
43.57205242589724,46.325069013862915,1.0,11.0,13.0,34.0
18.634553310784217,6.509664250112132,1.0,24.0,5.0,54.0
21.771166475987723,37.54800591345352,1.0,10.0,16.0,22.0
42.02017983696089,45.89547184229388,1.0,17.0,9.0,6.0
21.030796211250294,31.982167268460646,1.0,20.0,8.0,21.0
21.55431978694257,34.53604390657686,1.0,23.0,16.0,39.0
39.30362477083274,33.358898487968446,1.0,11.0,10.0,20.0
35.815772783382975,38.30641381876745,1.0,9.0,14.0,6.0
16.34712253822969,8.663452571779532,1.0,10.0,12.0,7.0
